# NEST version: nest-3-microcircuit@555986536
# RecordingBackendASCII version: 2
sender	time_ms
6214	0.100
7173	6.700
5984	7.100
6122	7.800
6592	8.100
6281	8.500
6203	8.600
7062	9.400
7176	10.300
7299	10.400
6565	10.600
6926	10.900
6041	11.100
6211	12.000
6690	13.800
6977	13.800
7264	14.800
6109	15.300
6188	15.300
7235	15.400
6623	15.500
7298	16.200
6773	16.300
7227	16.700
6256	17.000
6877	17.100
6701	17.200
6581	17.400
7294	17.400
6579	17.500
6865	17.500
6252	17.700
6310	17.800
6408	17.800
6397	18.200
6030	18.300
7174	18.600
6612	19.200
6373	20.700
7097	24.100
6423	26.300
6248	27.100
6742	27.300
6222	28.500
6958	28.500
7279	29.300
7147	29.400
6304	29.700
6577	29.700
6832	30.000
6387	30.400
7058	30.500
7165	30.500
7088	30.600
6156	30.700
7249	31.100
6884	31.400
6965	31.400
6282	31.500
6089	31.600
6183	31.900
6786	32.200
7327	32.500
6019	32.700
6556	32.800
6984	32.800
6244	32.900
6326	33.000
6421	33.400
7102	33.500
6430	33.700
7332	34.000
6313	34.200
6794	34.300
6197	34.500
7019	34.700
6909	35.000
6315	35.100
6735	35.100
7299	35.200
6835	35.600
7248	35.800
6499	36.000
7263	36.100
6404	37.100
7363	37.700
6707	38.200
7018	39.200
7384	42.900
6090	43.100
6668	44.700
7067	44.900
6703	45.400
6583	45.700
7207	45.900
6537	46.200
6677	46.800
5997	47.000
7311	47.800
6850	47.900
7369	48.500
7376	48.500
6279	48.600
7009	48.700
7303	48.900
6890	49.000
7241	49.000
6857	49.100
6024	49.400
7415	49.400
6317	49.500
6827	49.700
7099	49.900
7103	50.000
7134	50.300
5982	50.500
6421	50.700
6250	51.200
6756	53.400
6717	53.700
6795	56.200
6838	56.400
6939	58.700
6275	60.200
6106	63.100
6481	63.600
6746	63.700
6298	64.300
6436	65.600
7205	66.100
7364	68.000
6300	68.100
6241	68.600
7068	69.100
6663	69.400
7083	69.400
6397	69.700
6396	69.800
7182	69.800
6736	70.800
6979	71.800
7225	72.100
6450	73.100
6056	73.500
6558	73.500
6579	74.500
6903	75.300
7191	75.300
7200	75.500
7177	75.600
7302	76.700
6169	77.800
6565	77.800
6550	78.400
6873	78.400
6992	78.800
6112	79.300
6531	79.300
6357	79.700
6091	80.100
6344	80.100
6847	80.200
7106	80.400
6502	80.500
6666	80.500
6114	80.700
6288	81.200
7408	81.300
7064	81.400
6381	81.900
6601	86.500
6708	89.100
6296	91.200
6108	91.900
7094	93.200
7100	93.400
6468	94.300
6177	94.400
7116	94.500
7192	94.500
7374	94.500
7238	95.300
7186	95.400
6805	95.500
6499	95.600
6423	96.100
7299	96.500
7234	96.900
6701	97.400
6244	98.000
7001	99.000
7293	100.100
7036	100.600
7224	100.700
6685	100.900
6943	101.700
6210	101.800
6614	101.800
7350	102.100
6346	102.500
6866	105.200
6973	105.500
6631	106.900
6752	108.000
6663	108.100
7154	108.500
6258	108.600
7212	109.700
7342	110.200
6798	110.900
7203	111.900
6535	115.200
6077	115.700
6703	116.700
7079	116.800
6542	116.900
7208	117.300
7220	117.400
6700	117.500
6754	117.600
7049	117.600
7409	117.700
6691	118.200
7165	118.500
6957	118.600
6950	118.700
6279	119.600
6101	119.700
7147	119.700
6595	120.400
6830	120.600
6847	121.200
6568	122.100
7181	122.400
6681	122.900
7041	122.900
6069	123.400
6897	124.600
7215	125.000
7000	125.100
7363	125.400
7383	126.300
6253	126.500
6227	127.400
6627	127.600
6570	127.700
6351	128.700
7099	128.800
7069	129.500
7108	129.800
6567	130.400
7080	131.200
6616	131.400
6487	132.000
6761	132.100
6018	132.200
6235	132.700
7188	133.600
7209	134.400
6851	137.100
6133	137.200
6244	137.400
7205	138.200
6343	139.800
6703	140.700
6836	140.900
6030	141.200
6639	141.300
6310	142.800
6350	143.000
6736	143.000
6183	143.100
7131	143.100
6494	143.200
6172	143.300
6152	143.400
6557	144.300
6533	145.600
6825	145.700
6197	146.900
6909	147.600
6138	147.900
6285	148.000
6225	148.100
6502	148.100
6837	149.000
6889	149.200
7232	150.400
6066	150.600
6278	150.600
6511	151.000
6221	151.400
6383	153.600
7071	154.100
6251	156.000
6140	156.400
6461	156.600
7039	156.800
6357	157.000
7215	157.000
7042	157.100
6627	157.400
6754	157.700
6299	157.900
6857	158.400
6257	158.900
7171	158.900
6596	159.000
6012	159.200
6930	159.200
6201	159.400
6024	159.500
6262	159.700
6031	159.900
6768	160.000
7338	160.000
6482	160.200
6396	160.600
6693	160.700
6975	160.900
6591	161.800
7256	161.800
6033	165.600
6410	165.700
6538	165.700
6485	166.300
7346	166.900
6609	167.800
6704	167.800
6716	167.900
7110	167.900
6978	168.100
5983	168.300
7201	168.300
6550	168.500
6894	168.800
6403	169.000
7101	169.600
6181	170.100
7098	170.700
6969	171.500
6688	174.500
6159	177.100
6805	177.500
6567	182.700
6097	183.100
6784	186.300
6623	187.400
6640	187.400
6974	189.400
7326	189.500
6841	190.000
7296	190.000
7107	190.400
6436	190.900
7407	191.600
6597	191.900
6741	191.900
6889	191.900
6961	193.200
6942	193.600
7114	194.000
7359	194.200
7418	194.700
7297	195.500
7339	195.800
7046	195.900
6148	196.500
7188	196.800
6952	197.000
7202	197.000
6877	197.300
6257	198.000
6659	198.900
6253	199.000
6400	199.200
6859	200.200
6062	201.800
6282	202.800
6315	204.300
6670	204.300
6292	204.700
6668	205.300
6874	205.300
6043	205.700
7266	205.800
7046	207.300
6581	207.400
6466	207.900
7293	208.100
6405	208.200
7182	209.400
6278	209.600
6620	210.100
7090	210.500
6645	211.000
6155	213.800
5995	213.900
6411	214.800
6832	214.800
6530	216.000
7169	219.800
7335	220.600
6685	221.300
6703	221.600
6632	221.800
6786	222.200
7009	222.400
6909	222.500
6187	222.900
7012	223.100
7006	224.800
6251	226.800
6815	226.800
6203	227.100
6419	228.300
6646	228.600
6107	228.700
6249	230.200
6837	230.400
6794	230.500
6554	231.100
6702	231.400
6178	232.000
6197	232.000
6731	232.100
7390	232.100
6975	232.900
6597	233.000
6897	233.000
6988	234.800
7304	235.500
7299	237.200
6720	237.700
6756	237.900
6441	239.400
6357	239.600
7293	241.200
6515	241.700
6035	242.200
6219	242.700
6190	243.900
6018	244.200
7245	244.600
6329	245.500
7110	246.000
7264	247.100
6480	247.400
6253	247.500
6885	247.600
7193	247.800
6973	248.100
7085	248.100
7206	248.100
6900	248.600
6892	248.900
7043	249.600
6015	249.700
7079	249.800
6851	250.900
6282	251.100
7281	251.200
6279	252.200
6968	252.400
6049	252.500
7074	253.600
6247	253.700
7266	253.800
7039	254.000
6082	255.100
7094	255.200
7132	256.000
7241	256.000
6404	256.100
6708	256.200
6140	256.800
6103	258.000
6993	258.000
6984	258.100
6397	258.300
6556	258.400
6835	258.600
7393	258.800
6587	258.900
6815	258.900
6114	259.600
6436	259.900
6413	260.000
6052	260.700
6299	262.300
7348	263.100
6462	263.600
7011	263.600
7384	263.600
6732	263.900
7390	264.000
7292	265.400
6788	266.100
6383	266.400
6116	267.900
6118	268.300
6866	268.600
6921	275.300
6259	276.100
6361	276.400
6662	276.400
6989	277.000
6698	277.500
7389	277.700
7191	278.100
7060	278.300
6002	278.400
6394	278.400
7137	278.400
7239	278.600
6404	278.800
7358	279.000
7139	279.300
6278	279.800
6314	279.800
6809	279.800
7303	279.900
6315	280.100
7035	280.200
6837	281.400
7183	282.500
6310	283.300
6142	283.500
6495	287.300
6959	287.800
6449	288.000
6473	288.500
6666	288.500
7094	288.600
6118	289.000
6152	290.000
6692	290.300
6372	290.800
7409	292.900
7104	293.700
6863	294.000
6287	294.300
7084	294.500
7232	294.500
6912	295.000
6888	296.100
7365	298.600
6982	299.300
6254	300.400
6703	300.500
7250	300.800
6970	301.300
6316	301.600
6099	301.900
6894	301.900
6049	302.300
6343	302.500
7249	302.500
6113	302.800
6104	304.000
7259	304.300
6107	304.400
7147	304.400
6304	304.700
7314	305.500
6087	305.700
6031	306.200
6148	306.400
7302	307.100
7215	307.400
7275	307.400
6279	307.600
6539	308.700
6652	308.700
6801	308.800
6638	309.000
6798	309.900
7027	310.100
6241	310.500
6284	310.600
6868	310.700
7236	310.800
7407	311.300
6700	311.700
7088	311.900
7210	312.000
7193	312.600
7216	313.600
7200	314.100
6720	314.500
6278	314.600
6890	314.600
6211	316.300
6342	316.500
6257	319.000
6713	319.400
7001	319.600
5987	319.700
6973	319.800
6969	319.900
6666	321.000
7131	321.300
7361	321.300
7147	321.400
7390	321.500
7235	322.200
6706	322.300
7168	322.500
6154	322.800
6046	323.700
7262	323.700
7186	323.800
6212	325.900
6838	326.000
6177	326.300
6002	328.000
6673	328.500
6687	329.000
7169	329.300
6436	329.700
6402	330.000
6655	330.500
7055	330.700
7412	330.900
6090	331.400
7198	332.400
5996	332.900
6171	333.400
6390	334.300
6249	334.600
6802	334.600
7254	335.000
6543	335.300
7181	336.300
7337	336.500
7002	336.700
6477	336.900
6404	337.500
5991	337.800
6397	338.300
7249	339.700
7295	339.900
6582	340.600
7027	341.000
7407	341.000
7241	341.100
7034	341.500
6844	342.500
6927	342.800
7219	342.800
6507	343.000
6858	343.100
6281	343.400
6343	344.400
6095	344.900
6799	345.400
6435	346.600
6506	347.100
7261	347.300
6577	348.100
6630	348.200
7264	348.400
6703	349.000
6514	349.300
6744	349.300
7368	350.400
6043	351.000
6282	352.200
6993	352.800
6912	354.200
7245	354.800
6558	355.200
6358	355.300
6575	355.600
6995	356.000
6108	357.400
6027	357.600
7396	357.700
6166	358.000
6571	358.100
6865	358.800
7088	359.100
6424	359.600
6913	359.900
5990	360.600
6488	361.700
6449	364.300
7204	364.300
6396	365.600
6212	365.900
6430	366.800
7066	370.300
7351	370.600
6184	370.800
6875	371.100
7363	371.500
6448	372.000
7390	372.100
6446	372.400
6836	372.900
6904	374.500
6420	375.200
7340	375.500
7409	375.700
6900	376.900
6651	377.800
7012	378.200
6636	379.200
6436	379.900
6886	380.200
7006	380.700
6962	381.100
6118	381.600
5986	382.100
6140	382.200
7246	382.500
6278	382.800
6675	383.000
6872	383.700
7191	383.800
6509	386.500
6211	386.600
7333	386.600
6284	386.900
6088	387.200
6913	388.000
6217	388.100
6652	388.300
6615	388.500
6965	388.800
