# NEST version: nest-3-microcircuit@ecdf31ae4
# RecordingBackendASCII version: 2
sender	time_ms
4965	500.500
5387	500.600
5277	501.100
4972	502.900
4884	503.100
5319	503.300
5341	503.300
5087	504.000
5201	504.400
5364	505.000
5214	505.100
5088	505.200
5264	505.200
5048	505.800
5133	506.100
5033	506.400
5030	506.700
5246	506.900
5374	506.900
5082	507.100
4973	507.200
5380	508.000
4886	508.200
5313	508.700
4975	509.100
5343	509.100
4888	509.200
5064	509.300
4922	509.500
4943	509.500
5218	510.400
5330	510.400
5302	510.800
4929	511.200
5290	511.800
5360	511.800
5101	512.100
5194	512.100
5345	512.200
4986	512.300
5022	512.400
5165	512.800
5047	513.300
4913	514.200
5090	514.200
5331	515.100
4970	515.200
5038	515.600
5298	517.200
5099	517.300
4998	517.700
4847	517.800
5124	518.600
5013	519.500
5344	520.000
5278	520.200
5258	521.000
5108	521.900
4856	522.500
5352	523.000
4918	523.100
4927	523.300
5275	524.400
4980	524.700
5067	525.000
5372	525.700
4928	526.000
4860	526.500
5209	526.600
5245	526.800
4904	526.900
5078	527.000
5151	527.000
5188	527.100
5125	527.200
5208	527.200
5334	527.500
5338	527.500
5132	529.700
5350	529.900
5189	530.200
5039	530.300
5103	530.400
5356	530.800
4897	531.500
5055	532.700
5333	532.700
5251	532.900
5370	533.000
4844	534.100
5036	535.600
5152	535.700
5368	535.900
4878	536.200
5336	536.300
5135	536.900
5373	537.100
4901	537.300
5088	538.300
5024	538.400
5379	538.400
4960	539.000
4957	539.200
4902	539.700
4908	539.700
5158	540.100
5138	540.300
5198	541.100
5226	541.500
4950	542.300
4845	542.400
5384	543.300
4883	543.500
5193	543.800
5246	544.000
5346	544.200
4863	544.300
5347	544.500
4970	544.700
5350	544.700
4896	544.800
5273	544.800
4877	544.900
5077	544.900
4886	545.400
5013	545.700
5224	545.900
4980	546.000
4953	546.200
5126	546.400
5286	546.500
5128	546.700
5048	546.800
5252	547.800
5276	548.100
4911	548.200
5011	548.600
5270	548.600
4983	548.800
5344	549.000
5387	549.200
5099	549.800
5140	549.900
5017	550.500
4848	550.900
5343	551.200
5360	551.200
4866	551.600
4856	552.300
5068	553.400
5059	554.300
4854	555.200
4932	556.000
5257	556.900
5372	557.500
5222	558.300
4918	559.000
5246	559.100
5144	560.500
