# NEST version: master@7c40d9e9a
# RecordingBackendASCII version: 2
sender	time_ms
158	503.500
1755	504.400
1081	509.200
11	514.800
1327	517.700
586	518.400
1103	518.900
984	519.400
363	520.100
1102	520.200
928	521.100
1833	522.000
1481	522.100
166	522.800
1123	525.200
663	526.400
798	526.800
161	527.600
1915	527.600
1125	528.200
939	528.300
1588	528.400
1882	539.300
1116	540.400
1488	540.500
1919	541.200
527	546.900
166	547.600
1948	554.500
1329	557.900
292	558.900
1097	560.200
1371	560.300
1508	561.000
1595	561.100
757	561.300
1606	561.400
1938	561.600
1241	561.700
581	562.000
1954	562.200
1207	562.300
187	562.500
568	562.500
1245	562.600
171	562.700
346	562.700
905	562.800
1019	563.000
936	563.300
451	563.400
1165	563.500
803	563.800
421	564.400
387	564.700
907	564.700
1816	565.300
329	565.700
1790	565.700
433	567.200
142	569.500
460	571.200
950	571.500
1179	574.900
1018	575.600
1947	576.700
1123	577.000
1271	578.800
1304	582.600
278	584.400
568	586.200
1277	586.300
1638	587.400
1879	587.600
364	589.100
1781	589.400
1135	590.300
1986	590.500
419	592.200
1923	594.400
1483	597.400
883	598.100
434	600.200
255	600.600
1577	601.200
1257	602.000
1746	602.100
1206	602.300
220	602.500
1032	602.500
1395	602.700
738	602.800
445	602.900
1189	603.100
1024	603.300
511	603.500
925	604.000
292	604.400
1062	604.500
302	604.600
190	605.000
569	605.200
1116	605.400
1578	613.400
321	619.900
944	621.800
239	623.300
1792	624.200
1279	624.400
211	624.500
395	626.500
151	626.700
1834	626.700
1915	627.600
625	628.000
1103	629.100
1780	630.000
1724	630.200
1608	630.400
1855	632.000
1113	637.900
2046	639.100
25	640.500
1630	641.600
1745	641.700
974	641.800
113	642.200
481	642.200
868	642.300
398	642.700
2067	642.800
1513	642.900
11	643.200
473	643.300
1838	643.300
1394	643.400
957	643.800
1285	643.900
1974	645.500
142	646.100
1288	647.300
721	657.000
181	661.200
408	661.600
1184	661.700
957	661.800
1049	662.500
2039	662.900
871	663.100
509	663.400
735	663.500
43	663.600
112	663.700
2044	664.100
462	665.200
328	665.300
767	665.700
1220	666.600
74	666.700
683	667.300
1535	667.500
1505	670.900
1062	671.100
460	677.900
1931	679.500
517	680.000
36	681.700
654	682.400
1550	683.500
1370	684.300
1435	685.700
1610	690.500
369	691.700
1407	692.900
751	694.000
917	694.300
539	694.700
682	694.800
1075	694.900
433	695.400
1775	695.500
1644	698.400
600	700.100
120	704.700
1687	705.600
1977	706.000
562	718.400
332	721.800
1377	724.500
1930	724.800
777	725.000
74	725.900
39	727.200
1553	727.200
203	728.100
70	728.400
699	728.600
1629	728.600
1308	728.800
974	728.900
910	729.000
1284	729.000
260	729.700
1121	729.800
822	730.200
1359	730.400
625	730.900
377	735.300
1565	742.400
1898	745.500
527	745.700
726	748.500
523	749.300
517	755.300
421	758.500
107	762.200
1871	762.700
1606	763.700
975	763.800
1685	763.800
1378	766.200
1553	766.600
1534	766.700
919	766.900
1017	767.600
1947	767.600
712	767.900
1905	769.600
1902	769.800
1403	776.300
535	780.000
1844	784.700
1450	786.700
1021	787.400
897	788.200
1694	791.700
519	792.700
1097	797.600
866	799.600
202	800.100
1016	800.600
1739	800.600
1314	801.300
1918	803.800
290	804.300
966	805.600
1512	816.900
1078	819.800
463	820.000
1696	822.300
1577	827.300
749	835.700
1423	836.800
615	837.200
386	837.400
1258	838.000
1578	838.400
1034	838.800
1699	839.700
1327	842.600
263	842.700
1401	844.500
1781	845.400
947	855.400
1220	856.000
997	856.300
1632	856.800
465	856.900
7	858.000
1334	858.300
659	858.900
1415	858.900
1511	859.000
769	862.700
1329	868.100
1817	870.700
1536	873.100
1878	873.700
737	873.900
794	874.300
434	874.800
1742	875.200
378	875.300
519	875.300
1393	875.500
1228	875.700
1184	876.100
1578	876.200
1520	876.300
377	876.600
751	876.600
438	878.300
108	879.300
777	879.400
944	880.100
1984	892.200
877	894.400
1312	895.200
939	898.100
1786	898.400
492	899.000
48	899.200
434	899.400
1299	900.100
1303	900.200
810	900.500
1726	900.700
1116	901.000
1271	901.400
681	901.500
1329	901.700
349	901.900
282	902.300
1969	903.800
1115	904.600
1321	904.600
227	904.700
1092	913.900
758	914.800
390	915.100
769	915.400
1717	915.600
1626	915.900
1284	916.100
992	916.700
1914	916.800
1453	917.200
1471	917.400
1684	917.900
1379	918.100
1377	918.200
419	918.300
1681	918.400
625	918.500
695	919.000
890	919.100
1674	919.800
1782	920.000
1374	920.100
915	920.900
939	922.200
87	924.200
1924	924.400
1565	926.800
571	927.200
1286	935.500
1950	936.900
1410	939.200
1668	939.200
917	939.300
416	939.400
1858	940.200
1886	940.700
756	941.300
2044	942.400
1455	946.500
1983	951.600
949	952.100
357	960.400
1257	960.600
1940	960.900
2040	962.000
763	966.100
1429	966.300
746	968.100
404	971.000
1071	980.700
2037	982.500
814	982.800
1909	983.300
1626	983.500
1033	984.400
825	985.200
671	985.400
1077	985.800
2050	985.900
1809	986.100
1571	986.400
1328	986.700
957	987.400
124	990.600
2008	999.000
56	1001.800
1023	1002.700
803	1003.300
1588	1003.800
118	1004.200
681	1005.000
1924	1005.500
1450	1009.100
1036	1014.600
1092	1014.800
1699	1016.200
1808	1016.400
1006	1016.700
1443	1017.300
479	1017.900
1429	1017.900
686	1018.000
1779	1018.000
1213	1018.100
465	1018.500
542	1018.600
2033	1018.600
1099	1019.300
1860	1019.500
529	1020.100
2062	1020.300
968	1020.500
957	1021.400
2066	1036.800
211	1037.600
1230	1037.700
471	1038.100
1058	1041.200
197	1045.300
528	1046.600
868	1047.200
1994	1047.200
823	1047.900
971	1049.900
1545	1050.400
1024	1051.400
1875	1055.600
1802	1057.800
1622	1060.100
1851	1061.600
251	1063.300
1413	1063.400
1188	1063.600
890	1064.700
294	1065.600
856	1067.400
634	1067.800
1581	1067.800
670	1068.400
1214	1068.600
1488	1068.600
1644	1070.300
494	1071.600
353	1073.200
241	1074.700
59	1077.700
1552	1078.200
63	1078.600
254	1078.700
1780	1079.000
123	1079.100
397	1080.200
206	1080.300
210	1080.500
1859	1081.100
872	1082.400
355	1082.700
1034	1084.600
101	1092.700
1974	1094.500
1532	1096.600
446	1097.000
617	1097.200
1488	1097.600
915	1098.000
1407	1100.200
142	1101.100
1690	1103.200
1746	1103.200
460	1103.400
339	1103.500
805	1104.100
1478	1104.600
903	1105.300
116	1107.700
1594	1108.700
655	1112.700
731	1113.000
503	1115.400
1223	1117.100
1424	1119.300
511	1120.700
417	1121.000
264	1121.600
1802	1121.700
433	1122.300
1881	1123.800
1735	1124.300
337	1125.100
1567	1131.000
756	1131.500
1886	1134.300
1239	1134.500
1387	1135.400
978	1137.000
1010	1137.100
1125	1138.800
798	1140.900
1357	1141.000
377	1141.100
1011	1141.200
1455	1141.300
601	1142.200
1206	1143.800
1630	1144.000
211	1144.100
1383	1146.000
1602	1146.000
681	1150.700
245	1159.400
1103	1160.800
264	1161.700
374	1162.000
468	1162.100
627	1162.700
76	1162.800
1525	1162.800
393	1163.300
1855	1163.400
1889	1164.400
1925	1164.700
297	1164.900
301	1165.200
1020	1165.300
1858	1165.400
510	1165.500
408	1166.400
150	1166.800
835	1167.400
2036	1167.500
309	1168.300
1061	1169.600
315	1170.000
528	1170.000
104	1170.300
40	1170.800
739	1170.900
922	1171.700
655	1178.400
1618	1178.800
137	1179.300
362	1180.500
1457	1181.600
1737	1183.500
190	1183.700
25	1184.900
1421	1184.900
1992	1185.300
1879	1186.200
287	1186.700
233	1187.700
777	1187.800
290	1188.500
1897	1190.100
836	1194.600
1194	1195.200
1931	1195.400
670	1196.400
864	1201.500
1103	1203.800
1614	1208.900
647	1209.500
535	1209.900
1395	1210.500
918	1210.600
2012	1210.700
758	1211.100
1426	1211.100
1716	1211.100
