# NEST version: master@992860964
# RecordingBackendASCII version: 2
sender	time_ms
2158	501.800
2537	503.400
2308	505.200
2169	505.400
2408	505.500
2443	505.600
2165	505.900
2236	506.000
2340	506.000
2628	506.200
2205	506.800
2240	507.600
2140	507.700
2466	507.800
2465	508.200
2215	508.300
2400	509.000
2339	509.700
2557	509.900
2526	510.300
2267	510.700
2097	510.900
2346	513.000
2255	515.900
2576	519.000
2432	519.500
2651	519.700
2231	520.900
2202	521.200
2640	522.500
2635	522.600
2395	522.900
2618	523.600
2342	523.800
2581	523.800
2623	523.800
2153	524.200
2542	524.200
2548	524.400
2464	525.700
2310	525.800
2503	525.900
2630	527.400
2144	531.900
2496	532.200
2103	532.700
2120	533.100
2409	533.300
2606	534.200
2544	534.600
2165	535.400
2083	535.600
2561	536.600
2534	536.900
2157	540.200
2375	541.800
2577	542.500
2109	545.000
2216	545.900
2418	548.900
2612	548.900
2148	550.500
2185	551.000
2410	552.100
2264	553.200
2488	553.700
2506	555.100
2327	557.700
2406	557.700
2562	557.800
2555	558.300
2249	558.400
2236	558.700
2462	558.800
2308	559.100
2353	560.000
2405	561.300
2444	563.100
2568	566.700
2499	566.800
2642	567.500
2602	567.700
2294	567.800
2412	567.900
2637	568.500
2295	569.500
2395	570.200
2508	570.300
2164	572.100
2636	573.000
2451	574.100
2288	575.000
2460	575.200
2191	576.200
2440	576.300
2598	578.300
2359	578.800
2242	579.200
2226	580.100
2555	581.500
2628	582.800
2131	585.000
2166	588.800
2532	589.300
2545	590.800
2554	591.400
2503	591.500
2486	592.400
2525	592.400
2649	592.700
2375	593.300
2153	593.400
2224	593.400
2582	594.500
2566	594.600
2267	594.800
2268	595.100
2360	595.200
2157	595.800
2411	595.800
2102	595.900
2614	596.100
2537	596.500
2388	597.000
2278	597.300
2448	597.400
2133	597.500
2439	598.100
2401	598.300
2645	599.400
2138	601.900
2592	611.400
2291	612.800
2574	613.600
2383	614.300
2638	616.100
2510	616.600
2474	617.200
2505	617.400
2528	617.400
2555	618.700
2206	618.900
2453	619.400
2479	619.600
2439	619.800
2295	620.500
2622	621.200
2561	621.700
2100	622.400
2608	622.400
2335	623.600
2149	626.500
2191	626.900
2203	628.300
2476	628.800
2267	629.100
2241	629.500
2124	629.800
2637	629.800
2535	630.100
2392	630.900
2367	633.400
2141	634.000
2164	638.800
2531	639.700
2635	640.000
2618	640.900
2298	642.400
2533	642.600
2431	644.300
2517	644.700
2162	645.200
2153	646.900
2393	650.200
2376	650.700
2546	652.200
2585	652.200
2464	653.300
2333	654.600
2339	656.200
2562	659.300
2244	660.300
2601	660.600
2234	661.000
2267	661.300
2481	665.900
2182	666.200
2436	667.500
2275	667.600
2090	667.700
2409	668.300
2231	669.200
2542	669.300
2159	669.500
2309	669.800
2468	670.300
2624	674.700
2645	674.800
2155	674.900
2194	675.200
2376	675.400
2263	675.600
2494	675.800
2600	676.300
2225	677.000
2545	677.300
2596	677.700
2439	679.400
2610	681.900
2297	683.000
2586	684.700
2283	686.400
2098	687.300
2320	689.200
2464	690.800
2092	692.000
2134	693.400
2451	693.600
2167	693.900
2312	694.100
2450	694.300
2266	694.700
2096	695.600
2367	695.900
2641	696.800
2425	699.900
2378	702.700
2505	705.600
2547	707.200
2244	711.100
2640	711.700
2598	712.800
2151	713.500
2252	713.700
2369	713.700
2162	714.100
2623	714.100
2401	715.000
2517	715.400
2536	715.700
2178	715.800
2104	715.900
2482	716.100
2453	716.200
2085	716.300
2093	716.600
2143	716.800
2322	717.000
2489	717.000
2419	717.400
2182	718.500
2604	719.700
2224	722.700
2574	722.800
2614	723.400
2158	724.000
2643	724.000
2152	724.400
2100	725.300
2160	727.000
2325	728.500
2242	729.500
2232	732.200
2496	737.700
2312	738.100
2521	739.100
2194	740.500
2634	740.500
2471	741.200
2127	742.500
2565	742.600
2642	744.400
2331	744.700
2520	744.700
2448	745.200
2608	745.700
2095	746.100
2473	746.300
2214	746.700
2339	746.800
2450	746.800
2467	746.900
2277	747.200
2188	747.600
2355	748.000
2635	748.000
2386	749.200
2087	750.200
2300	750.700
2475	750.700
2153	751.200
2555	751.200
2525	752.900
2367	754.900
2446	756.500
2376	757.000
2132	767.600
2167	768.100
2536	768.500
2394	768.700
2174	768.800
2111	768.900
2399	769.000
2269	769.100
2076	769.300
2110	769.700
2366	769.700
2602	771.000
2459	773.300
2594	773.400
2626	773.400
2496	773.600
2563	773.800
2069	774.000
2422	774.900
2448	775.600
2600	776.200
2521	779.400
2155	781.900
2327	784.700
2628	784.900
2357	785.400
2150	786.000
2120	786.500
2221	788.100
2512	788.600
2276	788.800
2266	789.400
2271	790.400
2321	790.700
2330	791.200
2562	791.400
2433	792.100
2257	792.300
2147	793.200
