# NEST version: nest-3-microcircuit@ecdf31ae4
# RecordingBackendASCII version: 2
sender	time_ms
7620	500.500
7665	500.900
7479	502.400
7623	503.100
7691	503.300
7526	503.800
7617	505.300
7485	506.200
7599	507.000
7601	507.500
7701	507.900
7613	508.200
7585	508.300
7538	508.400
7664	509.600
7593	510.000
7510	510.200
7512	510.300
7443	510.500
7642	510.500
7586	510.800
7449	510.900
7570	511.000
7655	511.200
7549	511.600
7430	511.800
7435	512.200
7453	513.600
7713	514.000
7715	515.400
7690	515.800
7717	516.700
7626	517.000
7477	517.600
7537	519.300
7694	519.500
7553	519.700
7528	520.100
7478	521.300
7704	521.600
7429	521.700
7651	521.800
7517	521.900
7714	522.400
7609	522.500
7698	523.000
7571	523.100
7470	523.200
7650	524.500
7508	525.100
7541	525.300
7619	525.400
7589	525.800
7652	526.200
7454	526.700
7628	527.300
7656	527.300
7525	527.500
7689	527.700
7559	527.900
7630	528.000
7503	528.700
7425	528.800
7471	530.400
7591	530.700
7516	531.000
7649	532.700
7495	533.100
7701	533.900
7498	534.900
7520	535.900
7496	536.000
7565	536.300
7578	536.600
7679	537.000
7441	537.100
7470	537.200
7519	537.200
7474	537.400
7527	537.800
7426	539.500
7686	540.800
7637	541.900
7636	543.200
7599	543.700
7683	543.700
7574	543.900
7580	544.000
7497	544.100
7528	544.400
7711	544.500
7460	544.900
7694	545.100
7669	545.700
7715	546.400
7462	546.700
7603	547.700
7550	547.800
7673	547.800
7465	548.200
7563	548.600
7671	548.600
7523	549.000
7609	549.400
7459	551.300
7492	551.900
7658	551.900
7696	552.000
7588	552.200
7432	552.500
7454	554.900
7494	555.400
7481	556.600
7540	556.600
7509	556.900
7512	557.200
7507	558.400
7564	558.400
7700	558.500
7601	558.800
7568	558.900
7423	560.000
7624	560.000
7614	560.100
7714	560.300
7693	560.400
7623	561.300
7487	561.700
7684	562.400
7425	566.900
7611	567.600
7692	567.700
7468	567.900
7536	568.200
7474	568.400
7496	568.400
7674	568.400
7529	568.600
7594	568.700
7537	569.200
7531	569.400
7628	569.400
7626	569.800
7672	570.200
7679	570.300
7663	570.400
7691	570.500
7549	571.900
7498	572.200
7490	572.300
7426	572.800
7429	573.100
7440	573.600
7630	573.600
7579	574.100
7650	574.100
7521	575.100
7585	576.300
7503	576.400
7607	576.500
7637	576.600
7603	577.100
7617	577.200
7642	577.800
7695	578.000
7690	579.500
7683	580.500
7477	581.600
7511	582.200
7452	582.700
7520	584.200
7685	585.200
7709	585.200
7682	585.800
7471	586.000
7582	586.200
7446	586.400
7698	587.000
7612	587.300
7590	588.300
7442	588.400
7576	588.400
7609	588.500
7479	589.100
7525	589.300
7608	589.800
7425	590.000
7432	590.100
7635	590.100
7449	591.700
7606	591.700
7600	592.200
7514	592.700
7671	593.000
7484	593.800
7565	595.100
7619	595.100
7711	595.100
7556	595.200
7662	596.600
7623	597.100
7578	597.700
7586	597.800
7687	598.200
7700	598.800
7435	599.100
7546	599.800
7688	599.800
7462	602.600
7653	602.800
7488	603.600
7704	603.600
7441	603.700
7455	603.900
7499	604.000
7594	604.800
7472	605.600
7629	607.300
7657	607.800
7544	608.400
7482	609.000
7670	609.000
7672	609.600
7490	611.200
7478	612.400
7713	613.100
7626	613.200
7454	613.300
7500	613.500
7580	613.600
7674	614.300
7457	614.400
7509	614.600
7545	615.300
7471	615.400
7667	615.400
7497	615.800
7572	615.900
7536	616.000
7433	616.200
7429	616.400
7533	616.500
7650	616.800
7487	617.000
7498	618.400
7685	618.800
7470	619.200
7679	619.800
7428	620.200
7586	620.200
7605	620.200
7448	620.300
7700	620.600
7559	620.700
7465	623.900
7696	624.200
7425	625.500
7576	627.600
7652	627.600
7593	627.900
7520	628.000
7640	628.500
7460	630.600
7507	630.700
7522	630.800
7574	631.200
7492	631.900
7447	632.200
7523	633.400
7541	633.600
7619	633.900
7445	634.000
7599	634.400
7616	634.400
7535	635.300
7684	635.400
7704	635.800
7650	635.900
7431	636.200
7549	636.400
7674	636.600
7553	636.800
7712	637.000
7609	638.200
7648	639.200
7543	639.500
7513	641.900
7483	642.600
7537	642.900
7688	643.100
7481	643.200
7565	643.300
7561	643.600
